Player,Age
Kenneth Faried,29
Kenrich Williams,24
Kent Bazemore,29
Kentavious Caldwell-Pope,25
Kevin Durant,30
Kevin Huerter,20
Kevin Knox,19
Kevin Love,30
Kevon Looney,22
Khem Birch,26
Khris Middleton,27
Khyri Thomas,22
Klay Thompson,28
Kobi Simmons,21
Kosta Koufos,29
Kostas Antetokounmpo,21
Kris Dunn,24
Kyle Anderson,25
Kyle Korver,37
Kyle Kuzma,23
Kyle Lowry,32
Kyle O'Quinn,28
Kyrie Irving,26
LaMarcus Aldridge,33
Lance Stephenson,28
Lance Thomas,30
Landry Shamet,21
Langston Galloway,27
Larry Nance,26
Lauri Markkanen,21
LeBron James,34
Lonnie Walker,20
Lonzo Ball,21
Lorenzo Brown,28
Lou Williams,32
Luc Mbah a Moute,32
Luka Dončić,19
Luke Kennard,22
Luke Kornet,23
Luol Deng,33
Malachi Richardson,23
Malcolm Brogdon,26
Malcolm Miller,25
Malik Beasley,22
Malik Monk,20
Marc Gasol,34
Marcin Gortat,34
Marco Belinelli,32
Marcus Derrickson,22
Marcus Morris,29
Marcus Smart,24
Mario Hezonja,23
Markelle Fultz,20
Markieff Morris,29
Marquese Chriss,21
MarShon Brooks,30
Marvin Bagley,19
Marvin Williams,32
Mason Plumlee,28
Matthew Dellavedova,28
Maurice Harkless,25
Maxi Kleber,27
Melvin Frazier,22
Meyers Leonard,26
Michael Beasley,30
Michael Carter-Williams,27
Michael Kidd-Gilchrist,25
Mikal Bridges,22
Mike Conley,31
Mike Muscala,27
Mike Scott,30
Miles Bridges,20
Miles Plumlee,30
Miloš Teodosić,31
Mitch Creek,26
Mitchell Robinson,20
Mo Bamba,20
Monte Morris,23
Montrezl Harrell,25
Moritz Wagner,21
Myles Turner,22
Naz Mitrou-Long,25
Nemanja Bjelica,30
Nenê Hilário,36
Nerlens Noel,24
Nick Young,33
Nicolas Batum,30
Nik Stauskas,25
Nikola Jokić,23
Nikola Mirotić,27
Nikola Vučević,28
Noah Vonleh,23
Norman Powell,25
OG Anunoby,21
Okaro White,26
Omari Spellman,21
Omri Casspi,30
Otto Porter,25
P.J. Tucker,33
Pascal Siakam,24
Pat Connaughton,26
Patrick Beverley,30
Patrick McCaw,23
Patrick Patterson,29
Patty Mills,30
Pau Gasol,38
Paul George,28
Paul Millsap,33
PJ Dozier,22
Quincy Acy,28
Quincy Pondexter,30
Quinn Cook,25
R.J. Hunter,25
Rajon Rondo,32
Raul Neto,26
Rawle Alkins,21
Ray Spalding,21
Raymond Felton,34
Reggie Bullock,27
Reggie Jackson,28
Richaun Holmes,25
Ricky Rubio,28
Robert Covington,28
Robert Williams,21
Robin Lopez,30
Rodions Kurucs,20
Rodney Hood,26
Rodney McGruder,27
Ron Baker,25
Rondae Hollis-Jefferson,24
Royce O'Neale,25
