Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
2016-17,Regular,17,2/12/16,31,31.93,CLE,Away,CHI,Lose,-6,44.7,13,22,0.591,1,3,0.333,0,0,,0,5,5,13,0,0,8,2,27,18.6,-2
2016-17,Regular,18,5/12/16,31,31.93,CLE,Away,TOR,Win,4,42,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,2,34,28.9,9
2016-17,Regular,19,7/12/16,31,31.94,CLE,Away,NYK,Win,32,32.5,7,10,0.7,1,2,0.5,10,14,0.714,2,4,6,7,1,2,4,2,25,24.3,32
2016-17,Regular,20,9/12/16,31,31.95,CLE,Home,MIA,Win,30,37.3,12,22,0.545,1,3,0.333,2,4,0.5,2,6,8,8,3,0,3,2,27,23.6,22
2016-17,Regular,21,10/12/16,31,31.95,CLE,Home,CHO,Win,11,42.5,17,24,0.708,5,10,0.5,5,9,0.556,1,8,9,10,3,1,5,3,44,40,-1
2016-17,Regular,22,13/12/16,31,31.96,CLE,Home,MEM,Win,17,36.5,9,17,0.529,0,4,0,5,8,0.625,1,5,6,8,3,0,6,1,23,17.9,9
2016-17,Regular,Not With Team,14/12/16,31,31.96,CLE,Away,MEM,Lose,-8,,,,,,,,,,,,,,,,,,,,,
2016-17,Regular,23,17/12/16,31,31.97,CLE,Home,LAL,Win,11,38.9,9,18,0.5,2,5,0.4,6,11,0.545,1,6,7,9,2,2,2,1,26,24.8,17
2016-17,Regular,24,20/12/16,31,31.98,CLE,Away,MIL,Win,6,47.5,12,25,0.48,5,9,0.556,5,6,0.833,3,9,12,7,1,1,2,2,34,29.5,8
2016-17,Regular,25,21/12/16,31,31.98,CLE,Home,MIL,Win,11,34.4,12,24,0.5,4,7,0.571,1,1,1,1,8,9,6,0,0,2,0,29,22.3,26
