Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
1991-92,Regular,12,23/11/91,28,28.76,CHI,Away,DEN,Win,7,41.00,15,28,0.536,0,1,0,7,7,1,0,6,6,3,0,1,2,5,37,24,
1991-92,Regular,13,26/11/91,28,28.77,CHI,Away,LAC,Win,37,33.00,11,19,0.579,0,2,0,1,2,0.5,1,9,10,5,1,0,6,3,23,14.4,
1991-92,Regular,14,29/11/91,28,28.78,CHI,Away,POR,Win,2,51.00,16,39,0.41,0,1,0,8,10,0.8,3,5,8,7,3,1,3,4,40,25.9,
1991-92,Regular,15,30/11/91,28,28.78,CHI,Away,SAC,Win,16,39.00,13,21,0.619,0,2,0,4,9,0.444,0,6,6,8,0,1,2,4,30,23,
1991-92,Regular,16,4/12/91,28,28.79,CHI,Home,CLE,Win,6,41.00,7,20,0.35,0,1,0,2,2,1,1,8,9,9,3,0,7,4,16,8.6,
1991-92,Regular,17,6/12/91,28,28.8,CHI,Home,CHH,Win,18,34.00,8,19,0.421,1,2,0.5,2,4,0.5,1,10,11,10,1,0,1,3,19,17.6,
1991-92,Regular,18,7/12/91,28,28.8,CHI,Away,PHI,Lose,-3,41.00,12,25,0.48,0,1,0,8,10,0.8,3,11,14,9,3,1,4,2,32,29.1,
1991-92,Regular,19,10/12/91,28,28.81,CHI,Home,SEA,Win,5,39.00,7,20,0.35,0,1,0,5,8,0.625,3,8,11,1,0,1,1,3,19,10.3,
1991-92,Regular,20,13/12/91,28,28.82,CHI,Home,NYK,Win,10,43.00,9,18,0.5,0,2,0,9,12,0.75,1,7,8,6,4,0,3,2,27,24,
1991-92,Regular,21,14/12/91,28,28.82,CHI,Away,WSB,Win,13,33.00,12,19,0.632,0,1,0,5,8,0.625,3,6,9,1,2,3,1,3,29,25.8,
